10-06-2024 16:52:06:8797 | transfer.txt | from: 12345-67891 | to: 45678-53528 | 1000 | Перевод(пополнение) успешно выполнен
10-06-2024 16:52:06:8917 | transfer.txt | from: 45678-53528 | to: 13215-25891 | 500 | Перевод(пополнение) успешно выполнен
10-06-2024 16:52:06:8917 | transfer.txt | from: 13215-25891 | to: 52578-33328 | -1800 | Перевод(снятие) успешно выполнен
10-06-2024 16:52:06:8917 | transfer.txt | from: 52578-33328 | to: 12324-98691 | 4000 | Перевод(пополнение) успешно выполнен
10-06-2024 16:52:06:8917 | transfer.txt | from: 12324-98691 | to: 74778-77728 | 350 | Перевод(пополнение) успешно выполнен
11-06-2024 16:52:06:8917 | transfer.txt | from: 74778-77728 | to: 99999-88888 | -100 | Перевод(снятие) успешно выполнен
11-06-2024 17:06:35:7797 | transfer.txt | from: 12345-67891 | to: 45678-53528 | 1000 | Перевод(пополнение) успешно выполнен
11-06-2024 17:06:35:7908 | transfer.txt | from: 45678-53528 | to: 13215-25891 | 500 | Перевод(пополнение) успешно выполнен
11-06-2024 17:06:35:7908 | transfer.txt | from: 13215-25891 | to: 52578-33328 | -1800 | Перевод(снятие) успешно выполнен
11-06-2024 17:06:35:7908 | transfer.txt | from: 52578-33328 | to: 12324-98691 | 4000 | Перевод(пополнение) успешно выполнен
08-06-2024 17:06:35:7908 | transfer.txt | from: 12324-98691 | to: 74778-77728 | 350 | Перевод(пополнение) успешно выполнен
08-06-2024 17:06:35:7908 | transfer.txt | from: 74778-77728 | to: 99999-88888 | -100 | Перевод(снятие) успешно выполнен
08-06-2024 17:39:22:3175 | transfer.txt | from: 12345-67891 | to: 45678-53528 | 1000 | Перевод(пополнение) успешно выполнен
08-06-2024 17:39:22:3304 | transfer.txt | from: 45678-53528 | to: 13215-25891 | 500 | Перевод(пополнение) успешно выполнен
08-06-2024 17:39:22:3304 | transfer.txt | from: 13215-25891 | to: 52578-33328 | -1800 | Перевод(снятие) успешно выполнен
27-05-2024 17:39:22:3304 | transfer.txt | from: 52578-33328 | to: 12324-98691 | 4000 | Перевод(пополнение) успешно выполнен
27-05-2024 17:39:22:3315 | transfer.txt | from: 12324-98691 | to: 74778-77728 | 350 | Перевод(пополнение) успешно выполнен
27-05-2024 17:39:22:3315 | transfer.txt | from: 74778-77728 | to: 99999-88888 | -100 | Перевод(снятие) успешно выполнен
27-05-2024 17:44:36:4174 | transfer.txt | from: 12345-67891 | to: 45678-53528 | 1000 | Перевод(пополнение) успешно выполнен
27-05-2024 17:44:36:4274 | transfer.txt | from: 45678-53528 | to: 13215-25891 | 500 | Перевод(пополнение) успешно выполнен
27-05-2024 17:44:36:4274 | transfer.txt | from: 13215-25891 | to: 52578-33328 | -1800 | Перевод(снятие) успешно выполнен
